type,xcor,ycor,cash?
server,24,2,1,True
server,23,2,-1,True
server,27,2,-1,True
server,20,2,1,True
server,28,2,1,True
server,19,2,-1,True
server,31,2,-1,True
server,16,2,1,True
server,32,2,1,True
server,15,2,-1,True
server,35,2,-1,True
server,12,2,1,True
server,36,2,1,True
server,11,2,-1,True
server,8,2,1,True
server,7,2,-1,True
server,4,2,1,True
